"AGENT_NAME","TOTAL_PREMIUM","TOTAL_CLAIM"
"Agent 12",30670.51,66590.69
"Agent 15",29691.29,12062.39
"Agent 61",26900.07,92387.49
"Agent 80",33588.2,96431.49
"Agent 85",23125.62,8024.14
"Agent 54",31585.35,4178.25
"Agent 100",42965.34,41067.46
"Agent 76",19875.44,22028.07
"Agent 86",32319.35,69717.42
"Agent 55",26109.63,71160
"Agent 81",13708.96,0
"Agent 39",37833.4,20734.17
"Agent 32",26343.23,82399.46
"Agent 26",31194.37,50215.82
"Agent 34",28541.52,43131.89
"Agent 52",46182.77,86564.11
"Agent 75",21541.61,0
"Agent 11",68509.19,88175.53
"Agent 33",33487.99,41202.08
"Agent 30",19878.99,81709.11
"Agent 49",70160.57,71719.4
"Agent 28",33421.84,109347.83
"Agent 8",28407.85,40077.78
"Agent 64",29332.7,26103.05
"Agent 53",31120.61,43209.23
"Agent 50",36086.75,33417.75
"Agent 73",25982.51,41530.91
"Agent 3",27629.37,38816.38
"Agent 17",32914.44,34042.81
"Agent 7",27714.23,34971.24
"Agent 9",28549.5,7528.73
"Agent 38",23656.31,70317.18
"Agent 66",21695.51,27642.86
"Agent 83",28342.17,50823.25
"Agent 42",31286.03,55534.72
"Agent 37",42030.04,41612.59
"Agent 47",40860.35,14760.75
"Agent 91",34718.61,63961.61
"Agent 88",24442.28,30583.74
"Agent 69",40554.13,36372.3
"Agent 95",37180.3,84191.78
"Agent 90",28257.83,47181.65
"Agent 79",25165.38,48415.63
"Agent 48",34853.31,31546.18
"Agent 57",29259.81,4821.52
"Agent 4",23499.77,50819.45
"Agent 65",14673.98,24238.61
"Agent 58",39062.78,74854.6
"Agent 89",21860.77,14793.55
"Agent 16",63449.76,66413.71
"Agent 60",13673.95,16102.88
"Agent 10",21023.84,46568.51
"Agent 13",20698.33,2331.27
"Agent 74",25838.56,16967.8
"Agent 70",54830.26,85597.09
"Agent 19",39961.93,57669.78
"Agent 31",19192.76,24973.73
"Agent 98",21241.08,36844.28
"Agent 22",23346.07,22831.3
"Agent 96",32705.5,71477.3
"Agent 41",18443.14,25037.55
"Agent 87",25652.53,17269.74
"Agent 62",30487.35,60000.35
"Agent 5",21360.72,54310.12
"Agent 40",15259.13,34541.43
"Agent 43",22115.46,17971.94
"Agent 35",37243.18,76030.59
"Agent 82",35516.58,44739.57
"Agent 59",33170.76,30879.62
"Agent 18",45474.53,26376.25
"Agent 71",33305.29,31270.34
"Agent 67",13334.62,13895.44
"Agent 93",10543.32,11099.28
"Agent 68",27321.41,17896.74
"Agent 21",4690.17,9596.7
"Agent 14",10480.38,4349.38
"Agent 77",30670.49,63631.85
"Agent 84",17319.91,27860.54
"Agent 44",23406.58,21062.86
"Agent 94",33599.62,39558.85
"Agent 99",24711.29,23705.28
"Agent 97",28902.2,25603.86
"Agent 56",18827.73,11721.92
"Agent 51",32625.52,31570.11
"Agent 20",9132.44,5000.77
"Agent 24",43306.23,18293.77
"Agent 23",21737.62,70397.92
"Agent 6",14781.85,11018.2
"Agent 92",16209.32,3846.66
"Agent 78",39598.04,50169.98
"Agent 46",17487.62,0
"Agent 29",11355.88,31237.49
"Agent 36",18842.63,43070.46
"Agent 25",27873.77,60107.56
"Agent 2",24938.04,8708.17
"Agent 27",9857.97,4490
"Agent 63",41399.26,54340.5
"Agent 1",24722.34,28500.69
"Agent 72",29212.53,30748.77
"Agent 45",12808,34495.22
